resp_id,submitted_date,question_no,question_type,question,answer,answer_duration_sec
R01,2026-07-19,1,객관식,귀하의 국적은 어디인가요?,일본,2
R01,2026-07-19,2,객관식,귀하의 성별은 무엇인가요?,여성,2
R01,2026-07-19,3,객관식,귀하의 연령대는 어떻게 되시나요?,20대,2
R01,2026-07-19,4,객관식,"한국 블로그나 유튜브에서 식당, 카페, 뷰티 제품 정보를 찾을 때, 해당 리뷰나 추천이 얼마나 신뢰할 수 있다고 생각하시나요?",어느 정도 신뢰한다,8
R01,2026-07-19,5,객관식,한국 블로그나 유튜브의 콘텐츠 중에서 광고인지 솔직한 리뷰인지 구분하기가 얼마나 어렵나요?,어느 정도 구분된다,5
R01,2026-07-19,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"쇼핑앱 (쿠팡, 네이버 쇼핑 등)",10
R01,2026-07-19,7,객관식,생활앱 이용 시 가장 큰 장벽은 무엇이었나요?,"본인인증(공인인증서, 생체인증 등) 불가",16
R01,2026-07-19,8,객관식,자신과 같은 국가 출신 사람들이 남긴 리뷰와 추천이 있다면 도움이 될 것 같으신가요?,매우 도움이 될 것 같다,9
R01,2026-07-19,9,객관식,"K-뷰티 제품을 선택할 때, 당신의 피부타입(건성, 지성, 복합성 등)과 비슷한 외국인의 리뷰와 추천이 있다면 얼마나 유용할까요?",어느 정도 유용할 것 같다,7
R01,2026-07-19,10,객관식,"한국의 K-BBQ, 카페, 쇼핑, 관광지 등을 추천받을 때, 외국인의 시각에서 작성한 리뷰나 추천을 원하시나요?",어느 정도 원한다,4
R01,2026-07-19,11,객관식,다음 중 가장 추천 정보가 필요한 카테고리는 무엇인가요?,"카페 (커피숍, 디저트 카페)",12
R01,2026-07-19,12,객관식,GLOU의 다음 기능 중 가장 유용할 것 같은 기능은 무엇인가요? (1순위),"국적별 신뢰 리뷰 지도 (같은 나라 사람들의 리뷰로 맛집, 카페, 뷰티숍 찾기)",4
R01,2026-07-19,13,객관식,위 기능들 중 2번째로 유용할 것 같은 기능은 무엇인가요?,K-Beauty 피부타입 추천 (본인의 피부타입에 맞는 K-뷰티 제품 추천),9
R01,2026-07-19,14,객관식,"GLOU에서 개인화된 AI 추천, 광고 없는 서비스 등 프리미엄 기능을 이용한다면, 월 구독료로 얼마까지 지불할 의향이 있으신가요?",무료로만 사용하고 싶다,7
R01,2026-07-19,15,객관식,GLOU에서 지역 앰배서더 또는 리뷰어로 활동하며 현지 정보를 공유할 의향이 있으신가요?,매우 참여하고 싶다,5
R01,2026-07-19,16,객관식,앰배서더·리뷰어 활동 시 어떤 인센티브를 가장 선호하시나요?,"경험 이벤트 초대 (신제품 런칭, 투어 등)",11
R01,2026-07-19,17,객관식,당신은 현재 한국에 얼마나 오래 체류하고 계신가요?,1개월 - 3개월,11
R01,2026-07-19,18,객관식,한국에 체류하는 주된 목적은 무엇인가요?,유학,3
R01,2026-07-19,19,객관식,한국어 수준은 어느 정도 되시나요?,"초급 수준 (기본 문장 이해, 간단한 대화)",5
R01,2026-07-19,20,객관식,GLOU 베타 서비스에 참여하실 의향이 있으신가요?,매우 참여하고 싶다,12
R01,2026-07-19,21,주관식,"한국 생활 중 가장 어려웠던 점이나 필요했던 정보가 무엇인가요? 언제, 어떤 상황에서 겪었는지 구체적인 경험을 이야기해 주시고, 그때 어떻게 해결했는지도 함께 말씀해 주세요.",外国人登録や住所変更が大変でした。その時は地味に聞きました。,397
R01,2026-07-19,22,주관식,GLOU에서 개선되었으면 하는 기능이나 콘텐츠가 있다면 자유롭게 제안해 주세요. 왜 그 기능이 필요하다고 느꼈는지 본인의 경험과 함께 말씀해 주세요.,ないです,881
R01,2026-07-19,23,주관식,"베타 서비스 안내를 받고 싶다면 인스타그램 계정 또는 이메일을 남겨주세요. (선택사항이며, 베타 서비스 안내 목적으로만 사용됩니다.)",大丈夫です,20
R01,2026-07-19,24,주관식,귀하의 국적은 어디인가요?,日本です,7
R01,2026-07-19,25,주관식,기타 하고 싶은 말씀이 있으시면 작성해주세요.,ないです,6
R02,2026-07-19,1,객관식,귀하의 국적은 어디인가요?,그 외 국가,3
R02,2026-07-19,2,객관식,귀하의 성별은 무엇인가요?,여성,5
R02,2026-07-19,3,객관식,귀하의 연령대는 어떻게 되시나요?,20대,2
R02,2026-07-19,4,객관식,"한국 블로그나 유튜브에서 식당, 카페, 뷰티 제품 정보를 찾을 때, 해당 리뷰나 추천이 얼마나 신뢰할 수 있다고 생각하시나요?",어느 정도 신뢰한다,8
R02,2026-07-19,5,객관식,한국 블로그나 유튜브의 콘텐츠 중에서 광고인지 솔직한 리뷰인지 구분하기가 얼마나 어렵나요?,어느 정도 구분된다,10
R02,2026-07-19,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"은행앱 (계좌 개설, 송금 등)",17
R02,2026-07-19,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"예약앱 (병원, 식당, 숙소 예약 등)",0
